word,score,postags
easy,2.449965388637481,"s, a, r"
non,2.449965388637481,r
behind,2.449965388637481,"s, n, r"
west,2.449965388637481,"a, n, r"
near,2.449965388637481,"s, a, v, r"
sometimes,2.458966632752272,r
outside,2.4895799976911057,"s, a, n, r"
clear,2.4895799976911057,"a, r, s, n, v"
across,2.4895799976911057,r
instead,2.4994507517174,r
fine,2.509551078621725,"a, r, s, n, v"
especially,2.530484985457369,r
likely,2.541342913045577,"s, a, r"
above,2.541342913045577,"s, n, r"
inside,2.5496683018297075,"s, a, n, r"
dead,2.5496683018297075,"s, a, n, r"
finally,2.569738284605042,r
east,2.578631997765025,"a, n, r"
longer,2.578631997765025,"s, a, n, r"
alone,2.578631997765025,"s, r"
usually,2.5907808873446196,r
exactly,2.5907808873446196,r
round,2.6001209135987633,"a, r, s, n, v"
ok,2.6001209135987633,"s, n, r"
fast,2.6096662315049937,"a, r, s, n, v"
forward,2.6194260687941497,"a, r, s, n, v"
damn,2.6500948885606013,"r, s, n, v"
perhaps,2.6500948885606013,r
currently,2.660818753952375,r
simply,2.660818753952375,r
super,2.660818753952375,"s, n, r"
daily,2.671814138253838,"s, n, r"
deep,2.6907819773298183,"s, a, n, r"
below,2.6907819773298183,r
straight,2.698607314841775,"s, a, n, r"
tonight,2.7106162223147905,"n, r"
tomorrow,2.718810700930062,"n, r"
recently,2.718810700930062,r
double,2.7313998282380823,"a, r, s, n, v"
ahead,2.7313998282380823,"s, r"
quickly,2.7399999999999993,r
nearly,2.7399999999999993,r
completely,2.7399999999999993,r
certainly,2.7399999999999993,r
throughout,2.7501054362812267,r
fair,2.7501054362812267,"a, r, s, n, v"
extra,2.759996628416254,"s, n, r"
beyond,2.759996628416254,r
quick,2.759996628416254,"s, n, r"
immediately,2.759996628416254,r
absolutely,2.759996628416254,r
clean,2.770118356253501,"a, r, s, n, v"
heavy,2.7800051616715837,"s, a, n, r"
particularly,2.7800051616715837,r
wide,2.7800051616715837,"s, a, r"
definitely,2.7800051616715837,r
generally,2.7901222959631244,r
pro,2.7999818449923373,"a, n, r"
seriously,2.7999818449923373,r
worst,2.8100704399154113,"a, r, s, n, v"
none,2.8100704399154113,"s, n, r"
clearly,2.8198766737092757,r
anyway,2.8299094544059313,r
sweet,2.8299094544059313,"s, a, n, r"
yesterday,2.8299094544059313,"n, r"
direct,2.8299094544059313,"s, a, v, r"
literally,2.8299094544059313,r
thus,2.8299094544059313,"n, r"
easily,2.8299094544059313,r
directly,2.840179497572904,r
fully,2.8501382787418112,r
highly,2.8501382787418112,r
worse,2.8501382787418112,"s, a, n, r"
lots,2.859758224104519,"r, n, v"
otherwise,2.859758224104519,"s, r"
eventually,2.859758224104519,r
therefore,2.870181792020672,r
pop,2.870181792020672,"r, s, n, v"
truly,2.870181792020672,r
powerful,2.8899667423102304,"s, a, r"
slow,2.8899667423102304,"s, a, v, r"
twice,2.899893905543242,r
square,2.899893905543242,"a, r, s, n, v"
previously,2.910053304058364,r
fourth,2.910053304058364,"s, n, r"
mostly,2.910053304058364,r
totally,2.910053304058364,r
fresh,2.910053304058364,"s, a, r"
obviously,2.939970640755866,r
wild,2.939970640755866,"s, a, n, r"
apparently,2.939970640755866,r
indeed,2.949714835966758,r
firm,2.949714835966758,"r, s, n, v"
extremely,2.949714835966758,r
apart,2.959682687859848,"s, r"
possibly,2.9698847052128983,r
dear,2.9698847052128983,"s, n, r"
ad,2.9803321553103697,"n, r"
slightly,2.990263684430939,r
somewhere,2.999637310505756,"n, r"
forever,2.999637310505756,r
closer,3.0100257143004443,"s, a, n, r"
plenty,3.019840696594043,"n, r"
ill,3.019840696594043,"s, a, n, r"
flat,3.019840696594043,"s, a, n, r"
entirely,3.019840696594043,r
warm,3.0298826348881835,"s, a, v, r"
anywhere,3.0298826348881835,r
honestly,3.0498039199714855,r
originally,3.0498039199714855,r
suddenly,3.0498039199714855,r
express,3.0596644865854365,"r, s, n, v"
soft,3.0596644865854365,"s, a, r"
everywhere,3.08008379993015,r
relatively,3.08008379993015,r
specifically,3.0896924768680636,r
quiet,3.0896924768680636,"a, r, s, n, v"
properly,3.0995185630295783,r
approximately,3.0995185630295783,r
faster,3.0995185630295783,"s, a, r"
passing,3.109572124974976,"a, r, s, n, v"
besides,3.109572124974976,r
basically,3.109572124974976,r
false,3.109572124974976,"s, a, r"
slowly,3.109572124974976,r
typically,3.1198639450262418,r
unfortunately,3.1198639450262418,r
opposite,3.1198639450262418,"s, a, n, r"
largely,3.13040559077478,r
bright,3.13040559077478,"s, a, r"
perfectly,3.13040559077478,r
solo,3.13040559077478,"r, s, n, v"
mainly,3.1401169279263126,r
aside,3.150050398674292,"n, r"
ultimately,3.169457060118102,r
tight,3.169457060118102,"s, a, r"
item,3.169457060118102,"n, r"
normally,3.169457060118102,r
personally,3.169457060118102,r
harder,3.169457060118102,"s, a, r"
weekly,3.169457060118102,"s, n, r"
counter,3.180093374963887,"r, s, n, v"
hopefully,3.180093374963887,r
frequently,3.180093374963887,r
nearby,3.189771646944906,"s, r"
retail,3.189771646944906,"r, n, v"
surely,3.189771646944906,r
somewhat,3.189771646944906,r
widely,3.199670525209126,r
heavily,3.199670525209126,r
significantly,3.199670525209126,r
hardly,3.2098003017969177,r
somehow,3.2098003017969177,r
officially,3.2098003017969177,r
closely,3.2098003017969177,r
constantly,3.2098003017969177,r
loud,3.2098003017969177,"s, a, r"
automatically,3.2201720062242813,r
regularly,3.2201720062242813,r
fairly,3.240312917381596,r
monthly,3.240312917381596,"s, n, r"
effectively,3.2500415205751647,r
initially,3.2500415205751647,r
rough,3.2500415205751647,"a, r, s, n, v"
barely,3.2500415205751647,r
naturally,3.2599930570428493,r
meanwhile,3.2599930570428493,"n, r"
regardless,3.2599930570428493,"s, r"
sharp,3.2599930570428493,"s, a, n, r"
necessarily,3.2599930570428493,r
primarily,3.2599930570428493,r
shortly,3.270177984021837,r
thin,3.270177984021837,"s, a, v, r"
strongly,3.270177984021837,r
thick,3.2806075122407687,"s, a, n, r"
carefully,3.2806075122407687,r
awful,3.2806075122407687,"s, a, r"
loose,3.2806075122407687,"s, a, v, r"
elsewhere,3.2806075122407687,r
successfully,3.2897508916806393,r
respectively,3.2897508916806393,r
alongside,3.2897508916806393,r
badly,3.300667306169738,r
deeply,3.300667306169738,r
plain,3.3102477199975917,"a, r, s, n, v"
afterwards,3.3200442515102413,r
alright,3.3200442515102413,"s, r"
rarely,3.3200442515102413,r
newly,3.3200442515102413,r
essentially,3.3200442515102413,r
lately,3.330066876668705,r
forth,3.340326278518961,"n, r"
decent,3.340326278518961,"s, a, r"
nowhere,3.340326278518961,"n, r"
downtown,3.340326278518961,"a, n, r"
abroad,3.3508339156354667,"s, r"
equally,3.3508339156354667,r
potentially,3.3508339156354667,r
occasionally,3.3508339156354667,r
incredibly,3.359788758288394,r
hence,3.359788758288394,r
commonly,3.359788758288394,r
increasingly,3.359788758288394,r
collect,3.370784142589857,"r, s, n, v"
merely,3.370784142589857,r
roughly,3.380164517660112,r
asleep,3.380164517660112,"s, a, r"
rapidly,3.399555885159881,r
greatly,3.4095862266508092,r
precious,3.4095862266508092,"s, r"
underground,3.419853713888946,"s, n, r"
bang,3.419853713888946,"r, n, v"
steady,3.430369832574101,"a, r, s, n, v"
piano,3.430369832574101,"a, n, r"
partly,3.438970004336019,r
similarly,3.438970004336019,r
physically,3.438970004336019,r
overseas,3.449965388637482,"s, r"
con,3.458966632752272,"r, n, v"
publicly,3.458966632752272,r
bloody,3.458966632752272,"s, a, v, r"
wherever,3.4704870557820833,r
virtually,3.479928612014925,r
yea,3.479928612014925,"n, r"
nevertheless,3.4895799976911057,r
sooner,3.4895799976911057,"n, r"
exclusively,3.4994507517174007,r
consistently,3.4994507517174007,r
pat,3.4994507517174007,"r, s, n, v"
beneath,3.4994507517174007,r
formerly,3.4994507517174007,r
subsequently,3.509551078621726,r
instantly,3.509551078621726,r
differently,3.509551078621726,r
furthermore,3.509551078621726,r
actively,3.509551078621726,r
briefly,3.5198919119599443,r
accidentally,3.5198919119599443,r
safely,3.5198919119599443,r
gradually,3.530484985457369,r
repeatedly,3.530484985457369,r
legally,3.530484985457369,r
correctly,3.530484985457369,r
bitter,3.530484985457369,"r, s, n, v"
solely,3.541342913045577,r
precisely,3.541342913045577,r
additionally,3.541342913045577,r
mentally,3.541342913045577,r
overnight,3.5496683018297084,"s, r"
practically,3.5496683018297084,r
partially,3.5496683018297084,r
consecutive,3.5610230527068305,"s, r"
sadly,3.5610230527068305,r
simultaneously,3.569738284605042,r
strictly,3.578631997765025,r
moreover,3.578631997765025,r
annually,3.578631997765025,r
deadly,3.578631997765025,"s, r"
sometime,3.578631997765025,"s, r"
southeast,3.5907808873446196,"s, n, r"
quietly,3.5907808873446196,r
aboard,3.6001209135987633,r
northwest,3.6001209135987633,"s, n, r"
alike,3.6096662315049937,"a, r"
sexually,3.6096662315049937,r
reportedly,3.6096662315049937,r
openly,3.6294102897007505,r
happily,3.6294102897007505,r
nowadays,3.6294102897007505,"n, r"
locally,3.6294102897007505,r
nearest,3.6294102897007505,"s, a, r"
seemingly,3.639629454882437,r
poorly,3.639629454882437,"s, r"
southwest,3.639629454882437,"s, n, r"
purely,3.639629454882437,r
mighty,3.639629454882437,"s, r"
technically,3.639629454882437,r
severely,3.639629454882437,r
genuinely,3.639629454882437,r
thoroughly,3.650094888560602,r
smash,3.650094888560602,"r, n, v"
surprisingly,3.650094888560602,r
importantly,3.650094888560602,r
underneath,3.660818753952375,r
permanently,3.660818753952375,r
separately,3.660818753952375,r
gently,3.660818753952375,r
historically,3.660818753952375,r
nationwide,3.671814138253838,"s, r"
altogether,3.671814138253838,"n, r"
nicely,3.671814138253838,r
freely,3.671814138253838,r
traditionally,3.679302159646387,r
independently,3.679302159646387,r
allegedly,3.679302159646387,r
temporarily,3.679302159646387,r
halfway,3.679302159646387,"s, r"
northeast,3.679302159646387,"s, n, r"
politically,3.679302159646387,r
presumably,3.679302159646387,r
someday,3.6907819773298183,r
frankly,3.6907819773298183,r
bolt,3.698607314841775,"r, n, v"
likewise,3.698607314841775,r
emotionally,3.698607314841775,r
nonetheless,3.698607314841775,r
backwards,3.698607314841775,r
anyways,3.698607314841775,r
reasonably,3.7106162223147905,r
thereby,3.7106162223147905,r
namely,3.718810700930062,r
accordingly,3.718810700930062,r
utterly,3.718810700930062,r
deliberately,3.718810700930062,r
stark,3.7313998282380823,"s, r"
privately,3.7313998282380823,r
secretly,3.7313998282380823,r
sheer,3.7313998282380823,"s, v, r"
specially,3.7313998282380823,r
formally,3.7313998282380823,r
notably,3.7313998282380823,r
considerably,3.74,r
firmly,3.74,r
kindly,3.74,"s, r"
quarterly,3.7501054362812263,"a, n, r"
accurately,3.7501054362812263,r
desperately,3.759996628416254,r
financially,3.759996628416254,r
thereafter,3.7701183562535,r
continuously,3.7701183562535,r
wholesale,3.7701183562535,"r, s, n, v"
randomly,3.7701183562535,r
slap,3.7701183562535,"r, n, v"
fortunately,3.7701183562535,r
explicitly,3.780005161671584,r
socially,3.780005161671584,r
supposedly,3.780005161671584,r
lightly,3.780005161671584,r
substantially,3.780005161671584,r
internationally,3.7901222959631258,r
dramatically,3.7901222959631258,r
overtime,3.799981844992336,"n, r"
consequently,3.799981844992336,r
overhead,3.810070439915412,"a, n, r"
readily,3.810070439915412,r
beautifully,3.819876673709276,r
luckily,3.819876673709276,r
offshore,3.8299094544059313,"s, a, r"
continually,3.8299094544059313,r
terribly,3.8299094544059313,r
inevitably,3.840179497572903,r
individually,3.840179497572903,r
stiff,3.840179497572903,"s, a, n, r"
awhile,3.8501382787418112,r
sharply,3.8501382787418112,r
positively,3.8501382787418112,r
cod,3.8501382787418112,"r, s, n, v"
sincerely,3.8501382787418112,r
yearly,3.859758224104519,"s, n, r"
critically,3.859758224104519,r
undoubtedly,3.859758224104519,r
illegally,3.870181792020671,r
upstairs,3.870181792020671,"a, n, r"
damned,3.870181792020671,"r, s, n, v"
extensively,3.870181792020671,r
secondly,3.8899667423102304,r
farther,3.8899667423102304,"s, r"
timely,3.8899667423102304,"s, r"
promptly,3.899893905543242,r
steadily,3.899893905543242,r
nationally,3.899893905543242,r
ce,3.910053304058364,"n, r"
economically,3.910053304058364,r
afterward,3.910053304058364,r
inland,3.910053304058364,"a, r"
wholly,3.910053304058364,r
overly,3.910053304058364,r
outright,3.910053304058364,"s, r"
collectively,3.91979854051436,r
broadly,3.91979854051436,r
intentionally,3.91979854051436,r
globally,3.91979854051436,r
forwards,3.929767482004916,"r, n, v"
alternatively,3.929767482004916,r
thankfully,3.939970640755865,r
predominantly,3.939970640755865,r
sufficiently,3.939970640755865,r
ie,3.939970640755865,"n, r"
flush,3.939970640755865,"r, s, n, v"
efficiently,3.949714835966758,r
loudly,3.949714835966758,r
bodily,3.959682687859849,"s, a, r"
jointly,3.959682687859849,r
foremost,3.959682687859849,"s, r"
fundamentally,3.9698847052128974,r
softly,3.9698847052128974,r
remarkably,3.9698847052128974,r
tightly,3.9803321553103688,r
professionally,3.9803321553103688,r
unusually,3.9803321553103688,r
internally,3.990263684430939,r
remotely,3.990263684430939,r
upwards,3.990263684430939,r
boiling,3.990263684430939,"r, n, v"
ideally,3.990263684430939,r
exceptionally,3.999637310505755,r
thereof,3.999637310505755,r
appropriately,3.999637310505755,r
ironically,3.999637310505755,r
comfortably,3.999637310505755,r
rightly,4.010025714300444,r
firstly,4.010025714300444,r
downstairs,4.019840696594043,"a, r"
voluntarily,4.019840696594043,r
presently,4.019840696594043,r
backward,4.0298826348881835,"s, a, r"
unexpectedly,4.0298826348881835,r
routinely,4.0298826348881835,r
downward,4.0298826348881835,"s, r"
preferably,4.0298826348881835,r
hourly,4.0298826348881835,"s, r"
outdoors,4.0298826348881835,"n, r"
upward,4.0298826348881835,"s, r"
wildly,4.0298826348881835,r
indirectly,4.0298826348881835,r
proudly,4.0298826348881835,r
manually,4.040162274132753,r
lastly,4.049803919971486,r
midway,4.049803919971486,"s, n, r"
negatively,4.049803919971486,r
smoothly,4.0596644865854365,r
visually,4.0596644865854365,r
mutually,4.0596644865854365,r
strangely,4.069754146925876,r
commercially,4.069754146925876,r
alas,4.069754146925876,"n, r"
gladly,4.069754146925876,r
statistically,4.069754146925876,r
casually,4.080083799930149,r
genetically,4.080083799930149,r
herein,4.080083799930149,r
downhill,4.080083799930149,"s, n, r"
manly,4.080083799930149,"s, a, r"
indefinitely,4.089692476868063,r
drastically,4.089692476868063,r
hugely,4.089692476868063,r
narrowly,4.089692476868063,r
evenly,4.089692476868063,r
smack,4.099518563029578,"r, n, v"
theoretically,4.099518563029578,r
adequately,4.099518563029578,r
culturally,4.099518563029578,r
amazingly,4.099518563029578,r
atop,4.109572124974976,r
universally,4.109572124974976,r
aggressively,4.109572124974976,r
seldom,4.109572124974976,r
peacefully,4.109572124974976,r
morally,4.109572124974976,r
wisely,4.119863945026243,r
loosely,4.119863945026243,r
vastly,4.119863945026243,r
unanimously,4.119863945026243,r
sic,4.119863945026243,"v, r"
violently,4.119863945026243,r
downstream,4.119863945026243,"a, r"
beforehand,4.119863945026243,"s, r"
onwards,4.13040559077478,r
falsely,4.13040559077478,r
scarce,4.13040559077478,"a, r"
freshly,4.13040559077478,r
indoors,4.140116927926312,r
hereby,4.140116927926312,r
backstage,4.140116927926312,"s, n, r"
interestingly,4.140116927926312,r
evidently,4.140116927926312,r
periodically,4.150050398674292,r
inherently,4.150050398674292,r
brutally,4.150050398674292,r
silently,4.16021640338319,r
willingly,4.16021640338319,r
conveniently,4.16021640338319,r
immensely,4.169457060118102,r
incorrectly,4.169457060118102,r
jolly,4.169457060118102,"r, s, n, v"
abruptly,4.180093374963887,r
moderately,4.180093374963887,r
oddly,4.180093374963887,r
calmly,4.180093374963887,r
upstream,4.180093374963887,"a, r"
flop,4.180093374963887,"r, n, v"
plum,4.189771646944905,"n, r"
wonderfully,4.189771646944905,r
radically,4.199670525209126,r
uniquely,4.199670525209126,r
sideways,4.199670525209126,"s, r"
admittedly,4.199670525209126,r
overwhelmingly,4.199670525209126,r
tandem,4.209800301796918,"n, r"
conversely,4.209800301796918,r
distinctly,4.209800301796918,r
finely,4.220172006224281,r
ashore,4.220172006224281,r
intensely,4.220172006224281,r
outward,4.220172006224281,"s, a, r"
systematically,4.220172006224281,r
fore,4.220172006224281,"a, n, r"
profoundly,4.229454989793387,r
comparatively,4.229454989793387,r
aloud,4.229454989793387,r
ridiculously,4.229454989793387,r
massively,4.229454989793387,r
roaring,4.229454989793387,"r, s, n, v"
incidentally,4.229454989793387,r
infinitely,4.229454989793387,r
consciously,4.240312917381596,r
multiply,4.240312917381596,"v, r"
knowingly,4.240312917381596,r
horribly,4.250041520575166,r
famously,4.250041520575166,r
eagerly,4.250041520575166,r
neatly,4.250041520575166,r
dearly,4.259993057042849,r
dripping,4.259993057042849,"r, n, v"
nightly,4.259993057042849,"s, r"
urgently,4.259993057042849,r
expressly,4.259993057042849,r
notwithstanding,4.259993057042849,r
anyhow,4.259993057042849,r
progressively,4.259993057042849,r
patiently,4.259993057042849,r
politely,4.270177984021837,r
respectfully,4.270177984021837,r
dangerously,4.270177984021837,r
painfully,4.270177984021837,r
vaguely,4.270177984021837,r
forcibly,4.280607512240769,r
endlessly,4.280607512240769,r
onward,4.280607512240769,r
alias,4.280607512240769,"n, r"
wrongly,4.280607512240769,r
vertically,4.280607512240769,r
brilliantly,4.280607512240769,r
reluctantly,4.289750891680638,r
scientifically,4.289750891680638,r
strategically,4.289750891680638,r
digitally,4.289750891680638,r
mistakenly,4.289750891680638,r
artificially,4.3006673061697365,r
medically,4.3006673061697365,r
inadvertently,4.3006673061697365,r
environmentally,4.3006673061697365,r
purposely,4.3006673061697365,r
duly,4.3006673061697365,r
brightly,4.3006673061697365,r
invariably,4.3006673061697365,r
federally,4.3006673061697365,r
nay,4.310247719997592,"n, r"
soaking,4.310247719997592,"r, n, v"
overboard,4.310247719997592,r
mildly,4.310247719997592,r
logically,4.310247719997592,r
therein,4.320044251510242,r
piping,4.320044251510242,"r, n, v"
extraordinarily,4.320044251510242,r
unbelievably,4.320044251510242,r
densely,4.320044251510242,r
chiefly,4.320044251510242,r
unnecessarily,4.320044251510242,r
irrespective,4.330066876668705,r
tremendously,4.330066876668705,r
verbally,4.330066876668705,r
prominently,4.330066876668705,r
anonymously,4.330066876668705,r
confidently,4.330066876668705,r
awfully,4.330066876668705,r
principally,4.340326278518962,r
reliably,4.340326278518962,r
clinically,4.350833915635468,r
barefoot,4.350833915635468,"s, r"
visibly,4.350833915635468,r
vigorously,4.350833915635468,r
horseback,4.350833915635468,"n, r"
enormously,4.350833915635468,r
aft,4.350833915635468,"a, r"
uphill,4.359788758288393,"s, n, r"
downright,4.359788758288393,"s, r"
plainly,4.359788758288393,r
notoriously,4.370784142589857,r
racially,4.370784142589857,r
nonstop,4.370784142589857,"s, n, r"
decidedly,4.370784142589857,r
inward,4.370784142589857,"s, a, r"
unfairly,4.380164517660112,r
noticeably,4.380164517660112,r
magically,4.380164517660112,r
materially,4.380164517660112,r
legitimately,4.380164517660112,r
improperly,4.389751981665837,r
exceedingly,4.389751981665837,r
excessively,4.389751981665837,r
fiercely,4.389751981665837,r
psychologically,4.389751981665837,r
westward,4.389751981665837,"s, n, r"
mechanically,4.389751981665837,r
geographically,4.389751981665837,r
ostensibly,4.389751981665837,r
afar,4.389751981665837,r
pleasantly,4.389751981665837,r
angrily,4.399555885159882,r
intellectually,4.399555885159882,r
spontaneously,4.399555885159882,r
upstate,4.399555885159882,r
insanely,4.399555885159882,r
grossly,4.409586226650808,r
centrally,4.409586226650808,r
anon,4.409586226650808,r
fatally,4.409586226650808,r
realistically,4.409586226650808,r
passionately,4.409586226650808,r
scarcely,4.409586226650808,r
steaming,4.419853713888946,"s, v, r"
blindly,4.419853713888946,r
cautiously,4.419853713888946,r
mellow,4.419853713888946,"s, v, r"
selectively,4.419853713888946,r
prematurely,4.430369832574101,r
uptown,4.430369832574101,"a, n, r"
heaps,4.430369832574101,"r, n, v"
disproportionately,4.438970004336018,r
horizontally,4.438970004336018,r
exponentially,4.438970004336018,r
hastily,4.438970004336018,r
externally,4.438970004336018,r
subtly,4.438970004336018,r
generously,4.449965388637482,r
markedly,4.449965388637482,r
bitterly,4.449965388637482,r
spiritually,4.449965388637482,r
cheaply,4.458966632752272,r
securely,4.458966632752272,r
objectively,4.458966632752272,r
boldly,4.458966632752272,r
defensively,4.458966632752272,r
unsuccessfully,4.458966632752272,r
harshly,4.470487055782083,r
adversely,4.470487055782083,r
thinly,4.470487055782083,r
faithfully,4.470487055782083,r
richly,4.470487055782083,r
musically,4.470487055782083,r
bravely,4.470487055782083,r
nervously,4.470487055782083,r
tragically,4.479928612014925,r
vividly,4.479928612014925,r
understandably,4.479928612014925,r
concurrently,4.479928612014925,r
eternally,4.479928612014925,r
domestically,4.479928612014925,r
mysteriously,4.479928612014925,r
ordinarily,4.479928612014925,r
forcefully,4.479928612014925,r
instinctively,4.489579997691106,r
awkwardly,4.489579997691106,r
oft,4.489579997691106,r
marginally,4.489579997691106,r
seasonally,4.489579997691106,r
enthusiastically,4.489579997691106,r
firsthand,4.489579997691106,"s, r"
nigh,4.4994507517174,"s, a, r"
eastward,4.4994507517174,"s, n, r"
warmly,4.4994507517174,r
apiece,4.4994507517174,r
religiously,4.4994507517174,r
responsibly,4.4994507517174,r
forte,4.4994507517174,"a, n, r"
coincidentally,4.4994507517174,r
intimately,4.4994507517174,r
chemically,4.4994507517174,r
rightfully,4.4994507517174,r
implicitly,4.509551078621725,r
biologically,4.509551078621725,r
truthfully,4.509551078621725,r
gracefully,4.509551078621725,r
effortlessly,4.519891911959944,r
northward,4.519891911959944,"s, n, r"
arbitrarily,4.519891911959944,r
alternately,4.519891911959944,r
whopping,4.519891911959944,"s, v, r"
momentarily,4.519891911959944,r
relentlessly,4.5304849854573686,r
unintentionally,4.5304849854573686,r
anew,4.541342913045577,r
clockwise,4.541342913045577,"a, r"
fondly,4.541342913045577,r
rattling,4.541342913045577,"r, s, n, v"
blatantly,4.541342913045577,r
curiously,4.541342913045577,r
favorably,4.541342913045577,r
variously,4.549668301829708,r
sorely,4.549668301829708,r
structurally,4.549668301829708,r
uniformly,4.549668301829708,r
furiously,4.549668301829708,r
impromptu,4.549668301829708,"s, n, r"
aesthetically,4.549668301829708,r
plump,4.549668301829708,"r, s, n, v"
unquestionably,4.549668301829708,r
miraculously,4.549668301829708,r
functionally,4.549668301829708,r
electrically,4.549668301829708,r
mathematically,4.5610230527068305,r
academically,4.5610230527068305,r
popularly,4.5610230527068305,r
cleverly,4.5610230527068305,r
frantically,4.5610230527068305,r
hopelessly,4.5610230527068305,r
jokingly,4.5610230527068305,r
humbly,4.569738284605043,r
miserably,4.569738284605043,r
madly,4.569738284605043,r
vehemently,4.569738284605043,r
weakly,4.569738284605043,"s, r"
furthest,4.569738284605043,"s, r"
doubly,4.569738284605043,r
unconditionally,4.578631997765025,r
overtly,4.578631997765025,r
undeniably,4.578631997765025,r
perpetually,4.578631997765025,r
squarely,4.578631997765025,r
technologically,4.59078088734462,r
hitherto,4.59078088734462,r
raving,4.59078088734462,"r, n, v"
solidly,4.59078088734462,r
wholeheartedly,4.59078088734462,r
tentatively,4.600120913598763,r
lovingly,4.600120913598763,r
powerfully,4.600120913598763,r
thrice,4.600120913598763,r
someplace,4.600120913598763,r
astray,4.609666231504994,r
acutely,4.609666231504994,r
suitably,4.609666231504994,r
diligently,4.609666231504994,r
